SEQ='NE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  28014381.4   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR=  28199803.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   ---- ---  2.00E+04  5.00E+04  1.00E+05  2.00E+05  5.00E+05  1.00E+06  2.00E+06  5.00E+06  1.00E+07
     1       1.05E-12  7.44E-13  4.71E-13  3.33E-13  2.36E-13  1.50E-13  1.07E-13  7.71E-14  5.14E-14  3.95E-14
             3.24E-14  2.92E-14  3.06E-14  3.39E-14  3.51E-14  2.98E-14  2.09E-14  1.00E-14  4.86E-15
     2       1.40E-17  1.04E-17  7.47E-18  6.52E-18  6.80E-18  1.06E-17  1.97E-17  4.19E-17  1.17E-16  2.34E-16
             4.14E-16  7.01E-16  8.85E-16  1.01E-15  1.07E-15  1.06E-15  9.67E-16  7.06E-16  4.67E-16
     3       4.13E-18  3.05E-18  2.20E-18  1.92E-18  2.01E-18  3.14E-18  5.84E-18  1.25E-17  3.52E-17  7.15E-17
             1.29E-16  2.22E-16  2.84E-16  3.27E-16  3.53E-16  3.51E-16  3.21E-16  2.35E-16  1.55E-16
     4       6.75E-14  4.77E-14  3.01E-14  2.12E-14  1.49E-14  9.24E-15  6.33E-15  4.21E-15  2.28E-15  1.32E-15
             7.07E-16  3.25E-16  2.54E-16  2.73E-16  3.00E-16  2.66E-16  1.93E-16  9.52E-17  4.69E-17
     5       2.92E-13  2.07E-13  1.30E-13  9.19E-14  6.46E-14  4.01E-14  2.75E-14  1.84E-14  1.00E-14  5.82E-15
             3.15E-15  1.48E-15  1.20E-15  1.33E-15  1.48E-15  1.32E-15  9.59E-16  4.74E-16  2.34E-16
     6       8.92E-14  6.30E-14  3.98E-14  2.80E-14  1.97E-14  1.22E-14  8.40E-15  5.62E-15  3.08E-15  1.80E-15
             9.79E-16  4.69E-16  3.88E-16  4.35E-16  4.91E-16  4.38E-16  3.19E-16  1.58E-16  7.78E-17
     7       5.29E-14  3.74E-14  2.36E-14  1.66E-14  1.17E-14  7.26E-15  4.99E-15  3.34E-15  1.83E-15  1.07E-15
             5.82E-16  2.79E-16  2.32E-16  2.61E-16  2.94E-16  2.63E-16  1.91E-16  9.46E-17  4.66E-17
     8       1.59E-13  1.12E-13  7.08E-14  4.99E-14  3.51E-14  2.18E-14  1.50E-14  1.00E-14  5.48E-15  3.21E-15
             1.75E-15  8.38E-16  6.96E-16  7.82E-16  8.83E-16  7.88E-16  5.74E-16  2.84E-16  1.40E-16
     9       1.88E-15  1.33E-15  8.29E-16  5.75E-16  3.92E-16  2.22E-16  1.31E-16  6.86E-17  3.34E-17  5.50E-17
             1.10E-16  1.95E-16  2.44E-16  2.71E-16  2.81E-16  2.74E-16  2.48E-16  1.80E-16  1.19E-16
    10       5.81E-16  4.09E-16  2.56E-16  1.78E-16  1.21E-16  6.85E-17  4.07E-17  2.12E-17  1.04E-17  1.76E-17
             3.56E-17  6.39E-17  8.03E-17  8.96E-17  9.34E-17  9.11E-17  8.25E-17  6.00E-17  3.96E-17
    11       1.41E-13  9.96E-14  6.28E-14  4.42E-14  3.10E-14  1.92E-14  1.31E-14  8.66E-15  4.65E-15  2.67E-15
             1.41E-15  5.24E-16  2.27E-16  9.22E-17  2.63E-17  9.87E-18  3.64E-18  9.60E-19  3.46E-19
    12       4.65E-14  3.29E-14  2.07E-14  1.46E-14  1.02E-14  6.34E-15  4.32E-15  2.86E-15  1.54E-15  8.84E-16
             4.65E-16  1.74E-16  7.52E-17  3.06E-17  8.72E-18  3.27E-18  1.21E-18  3.19E-19  1.15E-19
    13       3.24E-13  2.29E-13  1.44E-13  1.02E-13  7.13E-14  4.41E-14  3.01E-14  1.99E-14  1.07E-14  6.16E-15
             3.24E-15  1.21E-15  5.24E-16  2.13E-16  6.09E-17  2.28E-17  8.44E-18  2.22E-18  8.01E-19
    14       1.08E-13  7.61E-14  4.80E-14  3.38E-14  2.37E-14  1.47E-14  1.00E-14  6.63E-15  3.56E-15  2.05E-15
             1.08E-15  4.03E-16  1.75E-16  7.11E-17  2.03E-17  7.61E-18  2.81E-18  7.41E-19  2.67E-19
    15       7.49E-14  5.29E-14  3.34E-14  2.35E-14  1.65E-14  1.02E-14  6.97E-15  4.62E-15  2.49E-15  1.43E-15
             7.57E-16  2.83E-16  1.23E-16  5.00E-17  1.43E-17  5.37E-18  1.98E-18  5.23E-19  1.88E-19
    16       2.25E-13  1.59E-13  1.00E-13  7.06E-14  4.95E-14  3.06E-14  2.09E-14  1.39E-14  7.47E-15  4.30E-15
             2.27E-15  8.50E-16  3.69E-16  1.50E-16  4.29E-17  1.61E-17  5.95E-18  1.57E-18  5.65E-19
    17       3.48E-14  2.46E-14  1.55E-14  1.09E-14  7.65E-15  4.73E-15  3.22E-15  2.13E-15  1.13E-15  6.45E-16
             3.38E-16  1.41E-16  9.60E-17  9.28E-17  9.80E-17  8.63E-17  6.25E-17  3.09E-17  1.52E-17
    18       2.03E-15  1.44E-15  9.10E-16  6.44E-16  4.57E-16  2.91E-16  2.08E-16  1.49E-16  9.54E-17  6.54E-17
             4.38E-17  3.46E-17  4.63E-17  6.79E-17  8.76E-17  8.14E-17  6.06E-17  3.04E-17  1.51E-17
    19       1.58E-13  1.12E-13  7.05E-14  4.97E-14  3.49E-14  2.16E-14  1.47E-14  9.76E-15  5.23E-15  3.00E-15
             1.58E-15  6.72E-16  4.65E-16  4.57E-16  4.87E-16  4.30E-16  3.12E-16  1.54E-16  7.60E-17
    20       4.96E-14  3.50E-14  2.21E-14  1.56E-14  1.09E-14  6.77E-15  4.63E-15  3.08E-15  1.66E-15  9.54E-16
             5.06E-16  2.17E-16  1.52E-16  1.51E-16  1.62E-16  1.43E-16  1.04E-16  5.14E-17  2.53E-17
    21       2.97E-14  2.10E-14  1.32E-14  9.32E-15  6.54E-15  4.05E-15  2.77E-15  1.84E-15  9.92E-16  5.71E-16
             3.03E-16  1.30E-16  9.10E-17  9.06E-17  9.71E-17  8.58E-17  6.23E-17  3.08E-17  1.52E-17
    22       8.90E-14  6.29E-14  3.97E-14  2.79E-14  1.96E-14  1.22E-14  8.31E-15  5.52E-15  2.98E-15  1.71E-15
             9.08E-16  3.90E-16  2.73E-16  2.72E-16  2.91E-16  2.58E-16  1.87E-16  9.25E-17  4.56E-17
    23       2.16E-15  1.52E-15  9.51E-16  6.61E-16  4.51E-16  2.58E-16  1.55E-16  8.37E-17  3.35E-17  3.10E-17
             4.97E-17  8.22E-17  1.00E-16  1.09E-16  1.12E-16  1.08E-16  9.78E-17  7.11E-17  4.70E-17
    24       6.80E-16  4.79E-16  3.00E-16  2.08E-16  1.42E-16  8.14E-17  4.91E-17  2.65E-17  1.06E-17  1.00E-17
             1.63E-17  2.72E-17  3.32E-17  3.64E-17  3.73E-17  3.61E-17  3.26E-17  2.37E-17  1.57E-17
    25       2.77E-15  1.96E-15  1.24E-15  8.79E-16  6.23E-16  3.96E-16  2.82E-16  1.99E-16  1.22E-16  7.81E-17
             4.65E-17  2.47E-17  2.22E-17  2.63E-17  3.08E-17  2.78E-17  2.04E-17  1.01E-17  5.01E-18
    26       8.63E-14  6.10E-14  3.85E-14  2.71E-14  1.90E-14  1.18E-14  8.02E-15  5.31E-15  2.85E-15  1.64E-15
             8.63E-16  3.22E-16  1.39E-16  5.65E-17  1.61E-17  6.04E-18  2.23E-18  5.87E-19  2.12E-19
    27       2.85E-14  2.01E-14  1.27E-14  8.95E-15  6.28E-15  3.88E-15  2.65E-15  1.76E-15  9.44E-16  5.43E-16
             2.86E-16  1.07E-16  4.62E-17  1.88E-17  5.35E-18  2.01E-18  7.41E-19  1.95E-19  7.03E-20
    28       1.99E-13  1.41E-13  8.87E-14  6.25E-14  4.39E-14  2.71E-14  1.85E-14  1.23E-14  6.60E-15  3.80E-15
             2.00E-15  7.46E-16  3.23E-16  1.31E-16  3.74E-17  1.40E-17  5.18E-18  1.36E-18  4.92E-19
    29       6.62E-14  4.68E-14  2.95E-14  2.08E-14  1.46E-14  9.03E-15  6.16E-15  4.09E-15  2.20E-15  1.26E-15
             6.66E-16  2.49E-16  1.08E-16  4.37E-17  1.25E-17  4.68E-18  1.73E-18  4.55E-19  1.64E-19
    30       7.72E-14  5.45E-14  3.43E-14  2.40E-14  1.67E-14  1.01E-14  6.63E-15  4.13E-15  1.97E-15  1.00E-15
             4.66E-16  1.48E-16  5.79E-17  2.17E-17  5.70E-18  2.05E-18  7.28E-19  1.85E-19  6.55E-20
    31       2.57E-14  1.82E-14  1.14E-14  8.02E-15  5.57E-15  3.36E-15  2.21E-15  1.38E-15  6.55E-16  3.35E-16
             1.55E-16  4.94E-17  1.93E-17  7.23E-18  1.90E-18  6.82E-19  2.43E-19  6.17E-20  2.18E-20
    32       1.39E-13  9.79E-14  6.16E-14  4.32E-14  3.00E-14  1.81E-14  1.19E-14  7.42E-15  3.53E-15  1.80E-15
             8.37E-16  2.66E-16  1.04E-16  3.90E-17  1.03E-17  3.68E-18  1.31E-18  3.33E-19  1.18E-19
    33       4.62E-14  3.26E-14  2.05E-14  1.44E-14  1.00E-14  6.03E-15  3.97E-15  2.47E-15  1.18E-15  6.02E-16
             2.79E-16  8.87E-17  3.47E-17  1.30E-17  3.42E-18  1.23E-18  4.36E-19  1.11E-19  3.93E-20
    34       3.57E-14  2.52E-14  1.58E-14  1.11E-14  7.72E-15  4.66E-15  3.06E-15  1.91E-15  9.10E-16  4.65E-16
             2.16E-16  6.87E-17  2.68E-17  1.01E-17  2.65E-18  9.49E-19  3.38E-19  8.59E-20  3.04E-20
    35       1.07E-13  7.55E-14  4.75E-14  3.33E-14  2.32E-14  1.40E-14  9.19E-15  5.73E-15  2.73E-15  1.40E-15
             6.48E-16  2.06E-16  8.05E-17  3.02E-17  7.94E-18  2.85E-18  1.01E-18  2.58E-19  9.12E-20
    36       4.64E-14  3.28E-14  2.07E-14  1.46E-14  1.02E-14  6.33E-15  4.32E-15  2.87E-15  1.55E-15  8.91E-16
             4.70E-16  1.76E-16  7.61E-17  3.10E-17  8.83E-18  3.31E-18  1.22E-18  3.23E-19  1.16E-19
    37       1.39E-13  9.83E-14  6.20E-14  4.37E-14  3.07E-14  1.90E-14  1.30E-14  8.61E-15  4.64E-15  2.67E-15
             1.41E-15  5.27E-16  2.28E-16  9.29E-17  2.65E-17  9.94E-18  3.67E-18  9.68E-19  3.49E-19
    38       1.97E-14  1.39E-14  8.78E-15  6.18E-15  4.33E-15  2.66E-15  1.80E-15  1.18E-15  6.18E-16  3.47E-16
             1.79E-16  7.26E-17  4.65E-17  4.27E-17  4.40E-17  3.86E-17  2.79E-17  1.38E-17  6.78E-18
    39       9.19E-14  6.49E-14  4.09E-14  2.88E-14  2.02E-14  1.24E-14  8.44E-15  5.55E-15  2.93E-15  1.65E-15
             8.59E-16  3.51E-16  2.28E-16  2.11E-16  2.19E-16  1.92E-16  1.39E-16  6.88E-17  3.39E-17
    40       2.92E-14  2.06E-14  1.30E-14  9.17E-15  6.43E-15  3.97E-15  2.70E-15  1.78E-15  9.42E-16  5.34E-16
             2.79E-16  1.15E-16  7.49E-17  7.00E-17  7.29E-17  6.41E-17  4.64E-17  2.29E-17  1.13E-17
    41       1.75E-14  1.24E-14  7.80E-15  5.49E-15  3.85E-15  2.38E-15  1.62E-15  1.06E-15  5.65E-16  3.20E-16
