SEQ='BE'     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  22527951.3   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   132190.0 

   LS RESOLVED TERM INDEXING            BWNR=  24195433.6   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   123     2    2P1 5G1             (1)4( 4.0)  1584340.3 
   124     2    2P1 5G1             (3)5(16.0)  1584340.3 
   125     2    2P1 5G1             (1)5( 5.0)  1584340.3 
   126     2    2P1 5F1             (3)4(13.0)  1584386.4 
   127     2    2P1 5P1             (1)0( 0.0)  1584447.0 
   128     2    2P1 5F1             (3)2( 7.0)  1585146.9 
   129     2    2P1 5F1             (1)4( 4.0)  1585323.4 
   130     2    2P1 5F1             (1)2( 2.0)  1585657.8 
   131     2    2P1 5D1             (1)1( 1.0)  1586789.1 
   132     2    2P1 5D1             (1)3( 3.0)  1587010.3 
   133     2    2P1 6S1             (3)1( 4.0)  1641024.1 
   134     2    2P1 6S1             (1)1( 1.0)  1641946.9 
   135     2    2P1 6P1             (1)1( 1.0)  1644478.9 
   136     2    2P1 6P1             (3)2( 7.0)  1645028.2 
   137     2    2P1 6P1             (3)0( 1.0)  1645852.2 
   138     2    2P1 6P1             (3)1( 4.0)  1646702.0 
   139     2    2P1 6D1             (1)2( 2.0)  1647842.8 
   140     2    2P1 6D1             (3)3(10.0)  1647934.9 
   141     2    2P1 6P1             (1)2( 2.0)  1648053.1 
   142     2    2P1 6D1             (3)2( 7.0)  1649167.3 
   143     2    2P1 6D1             (3)1( 4.0)  1649457.7 
   144     2    2P1 6F1             (1)3( 3.0)  1649497.2 
   145     2    2P1 6F1             (3)3(10.0)  1649622.2 
   146     2    2P1 6P1             (1)0( 0.0)  1650079.9 
   147     2    2P1 6F1             (3)4(13.0)  1650146.0 
   148     2    2P1 6G1             (3)3(10.0)  1650164.8 
   149     2    2P1 6G1             (1)3( 3.0)  1650164.8 
   150     2    2P1 6G1             (3)4(13.0)  1650164.8 
   151     2    2P1 6G1             (1)4( 4.0)  1650164.8 
   152     2    2P1 6G1             (3)5(16.0)  1650164.8 
   153     2    2P1 6G1             (1)5( 5.0)  1650164.8 
   154     2    2P1 6H1             (3)4(13.0)  1650233.9 
   155     2    2P1 6H1             (1)4( 4.0)  1650233.9 
   156     2    2P1 6H1             (3)5(16.0)  1650233.9 
   157     2    2P1 6H1             (1)5( 5.0)  1650233.9 
   158     2    2P1 6H1             (3)6(19.0)  1650233.9 
   159     2    2P1 6H1             (1)6( 6.0)  1650233.9 
   160     2    2P1 6F1             (3)2( 7.0)  1650591.7 
   161     2    2P1 6F1             (1)4( 4.0)  1650745.1 
   162     2    2P1 6F1             (1)2( 2.0)  1650919.4 
   163     2    2P1 6D1             (1)1( 1.0)  1651487.2 
   164     2    2P1 6D1             (1)3( 3.0)  1651604.7 
   165     2    2P1 7S1             (3)1( 4.0)  1684142.8*
   166     2    2P1 7S1             (1)1( 1.0)  1684704.9*
   167     2    2P1 7P1             (1)1( 1.0)  1686317.9*
   168     2    2P1 7P1             (3)2( 7.0)  1686655.4*
   169     2    2P1 7P1             (3)0( 1.0)  1687161.7*
   170     2    2P1 7P1             (3)1( 4.0)  1687662.3*
   171     2    2P1 7D1             (1)2( 2.0)  1688401.2*
   172     2    2P1 7D1             (3)3(10.0)  1688456.9*
   173     2    2P1 7P1             (1)2( 2.0)  1688492.7*
   174     2    2P1 7D1             (3)2( 7.0)  1689214.1*
   175     2    2P1 7D1             (3)1( 4.0)  1689391.0*
