SEQ='O '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27239297.0   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P3             (4)0( 1.5)        0.0 
     2          2S2 2P3             (2)2( 4.5)    44495.0 
     3          2S2 2P3             (2)1( 2.5)    62597.4 

   LS RESOLVED TERM INDEXING            BWNR=  27737598.3   NTRM= 503
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   110     3    2S2 2P3 4P1         (1)1( 1.0)   480427.5 
   111     2    2S2 2P3 4D1         (1)2( 2.0)   480459.8 
   112     1    2S2 2P3 8P1         (5)1( 7.0)   480738.7 
   113     2    2S2 2P3 4D1         (1)3( 3.0)   480986.7 
   114     2    2S2 2P3 4F1         (3)4(13.0)   481013.0 
   115     2    2S2 2P3 4F1         (3)2( 7.0)   481022.2 
   116     2    2S2 2P3 4F1         (3)3(10.0)   481024.2 
   117     2    2S2 2P3 4F1         (3)5(16.0)   481025.9 
   118     2    2S2 2P3 4F1         (1)1( 1.0)   481027.7 
   119     2    2S2 2P3 4F1         (1)5( 5.0)   481029.4 
   120     2    2S2 2P3 4F1         (1)2( 2.0)   481031.1 
   121     2    2S2 2P3 4F1         (3)1( 4.0)   481045.4 
   122     2    2S2 2P3 4F1         (1)4( 4.0)   481054.9 
   123     2    2S2 2P3 4F1         (1)3( 3.0)   481059.0 
   124     1    2S2 2P3 8P1         (3)1( 4.0)   481252.7 
   125     1    2S2 2P3 8D1         (5)2(12.0)   482491.4 
   126     1    2S2 2P3 8D1         (3)2( 7.0)   482752.3 
   127     1    2S2 2P3 8G1         (5)4(22.0)   482819.3 
   128     1    2S2 2P3 8G1         (3)4(13.0)   482819.3 
   129     1    2S2 2P3 8H1         (5)5(27.0)   482843.7 
   130     1    2S2 2P3 8H1         (3)5(16.0)   482843.7 
   131     1    2S2 2P3 8I1         (5)6(32.0)   482854.5 
   132     1    2S2 2P3 8I1         (3)6(19.0)   482854.5 
   133     1    2S2 2P3 8F1         (5)3(17.0)   482855.9 
   134     1    2S2 2P3 8J1         (5)7(37.0)   482860.0 
   135     1    2S2 2P3 8J1         (3)7(22.0)   482860.0 
   136     1    2S2 2P3 8F1         (3)3(10.0)   482865.7 
   137     3    2S2 2P3 4P1         (3)1( 4.0)   483067.8 
   138     3    2S2 2P3 4P1         (1)2( 2.0)   484670.6 
   139     2    2S2 2P3 5S1         (3)2( 7.0)   488292.9 
   140     2    2S2 2P3 5S1         (1)2( 2.0)   489020.1 
   141     3    2S2 2P3 4P1         (1)0( 0.0)   493039.3 
   142     2    2S2 2P3 5P1         (3)2( 7.0)   493884.3 
   143     2    2S2 2P3 5P1         (1)1( 1.0)   493995.2 
   144     2    2S2 2P3 5P1         (3)3(10.0)   494108.5 
   145     2    2S2 2P3 5P1         (1)3( 3.0)   494396.5 
   146     2    2S2 2P3 5P1         (3)1( 4.0)   496222.4 
   147     3    2S2 2P3 4D1         (3)3(10.0)   496742.6 
   148     3    2S2 2P3 4D1         (3)1( 4.0)   496958.6 
   149     3    2S2 2P3 4D1         (1)2( 2.0)   497159.0 
   150     3    2S2 2P3 4D1         (3)2( 7.0)   497450.7 
   151     3    2S2 2P3 4D1         (1)3( 3.0)   498016.4 
   152     2    2S2 2P3 5P1         (1)2( 2.0)   498332.3*
   153     3    2S2 2P3 4F1         (3)4(13.0)   499131.6*
   154     3    2S2 2P3 4F1         (3)2( 7.0)   499138.0*
   155     3    2S2 2P3 4F1         (1)3( 3.0)   499144.3*
   156     3    2S2 2P3 4F1         (3)3(10.0)   499147.8*
   157     3    2S2 2P3 4F1         (1)4( 4.0)   499156.8*
   158     3    2S2 2P3 4F1         (1)2( 2.0)   499175.8*
   159     3    2S2 2P3 4D1         (1)1( 1.0)   499344.1*
   160     2    2S2 2P3 5D1         (1)0( 0.0)   501833.1*
   161     2    2S2 2P3 5D1         (3)3(10.0)   501872.2*
   162     2    2S2 2P3 5D1         (3)4(13.0)   501981.1*
   163     2    2S2 2P3 5D1         (1)4( 4.0)   502079.7*
   164     2    2S2 2P3 5D1         (3)2( 7.0)   502177.3*
   165     2    2S2 2P3 5D1         (1)1( 1.0)   502300.3*
   166     2    2S2 2P3 5D1         (3)1( 4.0)   502531.0*
   167     2    2S2 2P3 5D1         (3)0( 1.0)   502771.1*
   168     2    2S2 2P3 5D1         (1)2( 2.0)   502968.7*
   169     2    2S2 2P3 5G1         (3)2( 7.0)   503085.1*
   170     2    2S2 2P3 5G1         (1)2( 2.0)   503085.1*
   171     2    2S2 2P3 5G1         (3)3(10.0)   503085.1*
   172     2    2S2 2P3 5G1         (1)3( 3.0)   503085.1*
   173     2    2S2 2P3 5G1         (3)4(13.0)   503085.1*
   174     2    2S2 2P3 5G1         (1)4( 4.0)   503085.1*
   175     2    2S2 2P3 5G1         (3)5(16.0)   503085.1*
   176     2    2S2 2P3 5G1         (1)5( 5.0)   503085.1*
   177     2    2S2 2P3 5G1         (3)6(19.0)   503085.1*
   178     2    2S2 2P3 5G1         (1)6( 6.0)   503085.1*
   179     2    2S2 2P3 5D1         (1)3( 3.0)   503223.5*
   180     2    2S2 2P3 5F1         (3)4(13.0)   503251.1*
   181     2    2S2 2P3 5F1         (3)5(16.0)   503256.7*
   182     2    2S2 2P3 5F1         (3)3(10.0)   503256.9*
   183     2    2S2 2P3 5F1         (1)1( 1.0)   503258.1*
   184     2    2S2 2P3 5F1         (1)5( 5.0)   503259.4*
   185     2    2S2 2P3 5F1         (3)2( 7.0)   503261.3*
   186     2    2S2 2P3 5F1         (1)2( 2.0)   503268.5*
   187     2    2S2 2P3 5F1         (3)1( 4.0)   503271.8*
   188     2    2S2 2P3 5F1         (1)4( 4.0)   503283.5*
   189     2    2S2 2P3 5F1         (1)3( 3.0)   503284.1*
   190     3    2S2 2P3 5S1         (3)1( 4.0)   506416.5*
   191     2    2S2 2P3 6S1         (3)2( 7.0)   507095.4*
   192     3    2S2 2P3 5S1         (1)1( 1.0)   507143.7*
   193     2    2S2 2P3 6S1         (1)2( 2.0)   507477.2*
   194     2    2S2 2P3 6P1         (3)2( 7.0)   510125.4*
   195     2    2S2 2P3 6P1         (1)1( 1.0)   510193.8*
   196     2    2S2 2P3 6P1         (3)3(10.0)   510244.9*
   197     2    2S2 2P3 6P1         (1)3( 3.0)   510401.1*
   198     2    2S2 2P3 6P1         (3)1( 4.0)   511355.0*
   199     3    2S2 2P3 5P1         (3)0( 1.0)   511915.1*
   200     3    2S2 2P3 5P1         (3)2( 7.0)   512156.8*
   201     3    2S2 2P3 5P1         (1)1( 1.0)   512345.4*
   202     2    2S2 2P3 6P1         (1)2( 2.0)   512549.0*
   203     3    2S2 2P3 5P1         (3)1( 4.0)   513475.8*
   204     3    2S2 2P3 5P1         (1)2( 2.0)   514004.7*
   205     2    2S2 2P3 6D1         (1)0( 0.0)   514490.5*
   206     2    2S2 2P3 6D1         (3)3(10.0)   514516.5*
   207     2    2S2 2P3 6D1         (3)4(13.0)   514578.4*
   208     2    2S2 2P3 6D1         (1)4( 4.0)   514636.9*
   209     2    2S2 2P3 6D1         (3)2( 7.0)   514693.0*
