SEQ='B '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  24195433.6   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   114537.9 
     3          2S1 2P1             (1)1( 1.0)   226224.4*
     4          2P2                 (3)1( 4.0)   294287.6*
     5          2P2                 (1)2( 2.0)   329531.4*
     6          2P2                 (1)0( 0.0)   406862.2*

   LS RESOLVED TERM INDEXING            BWNR=  25455599.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   224     2    2S1 2P1 8I1         (2)7(14.5)  1312955.4*
   225     2    2S1 2P1 8J1         (4)6(25.5)  1312963.1*
   226     2    2S1 2P1 8J1         (2)6(12.5)  1312963.1*
   227     2    2S1 2P1 8J1         (4)7(29.5)  1312963.1*
   228     2    2S1 2P1 8J1         (2)7(14.5)  1312963.1*
   229     2    2S1 2P1 8J1         (4)8(33.5)  1312963.1*
   230     2    2S1 2P1 8J1         (2)8(16.5)  1312963.1*
   231     2    2S1 2P1 8D1         (2)3( 6.5)  1312966.6*
   232     2    2S1 2P1 8F1         (4)2( 9.5)  1312989.1*
   233     2    2S1 2P1 8F1         (2)4( 8.5)  1313058.5*
   234     2    2S1 2P1 8D1         (2)1( 2.5)  1313061.9*
   235     2    2S1 2P1 8F1         (2)2( 4.5)  1313133.1*
   236     3    2S1 2P1 5P1         (2)2( 4.5)  1317198.5*
   237     3    2S1 2P1 5P1         (2)1( 2.5)  1317971.0*
   238     3    2S1 2P1 5P1         (2)0( 0.5)  1318908.3*
   239     3    2S1 2P1 5D1         (2)2( 4.5)  1324736.4*
   240     3    2S1 2P1 5D1         (2)3( 6.5)  1324745.1*
   241     3    2S1 2P1 5D1         (2)1( 2.5)  1326368.6*
   242     3    2S1 2P1 5F1         (2)3( 6.5)  1327306.4*
   243     3    2S1 2P1 6S1         (2)1( 2.5)  1365354.7*
   244     3    2S1 2P1 6P1         (2)2( 4.5)  1370307.8*
   245     3    2S1 2P1 6P1         (2)1( 2.5)  1370705.0*
   246     3    2S1 2P1 6P1         (2)0( 0.5)  1371246.8*

   N-SHELL INDEXING                                     NREP= 42
   ----------------
   IREP    N
   -----   -
     1     1
     2     2
     3     3
     4     4
     5     5
     6     6
     7     7
     8     8
     9     9
    10    10
    11    11
    12    12
    13    13
    14    14
    15    15
    16    16
    17    18
    18    20
    19    22
    20    25
    21    29
    22    35
    23    39
    24    45
    25    49
    26    55
    27    61
    28    70
    29    81
    30   100
    31   115
    32   140
    33   162
    34   200
    35   235
    36   300
    37   353
    38   450
    39   535
    40   700
    41   811
    42   999



 --------------------------------
 PRTI= 1  TRMPRT= (1S)  SPNPRT= 1

   INDX TE=  3.60E+02  7.20E+02  1.80E+03  3.60E+03  7.20E+03  1.80E+04  3.60E+04  7.20E+04  1.80E+05  3.60E+05
   ---- ---  7.20E+05  1.80E+06  3.60E+06  7.20E+06  1.80E+07  3.60E+07  7.20E+07  1.80E+08  3.60E+08
     1       2.88E-11  2.04E-11  1.29E-11  9.09E-12  6.42E-12  4.04E-12  2.83E-12  1.97E-12  1.19E-12  7.84E-13
             4.94E-13  2.43E-13  1.29E-13  6.35E-14  2.20E-14  9.13E-15  3.61E-15  9.98E-16  3.67E-16
     4       1.55E-13  1.09E-13  6.92E-14  4.90E-14  3.47E-14  2.21E-14  1.58E-14  1.14E-14  7.65E-15  5.84E-15
             4.61E-15  3.42E-15  2.64E-15  1.89E-15  1.05E-15  6.04E-16  3.17E-16  1.20E-16  5.29E-17
     6       1.39E-15  9.81E-16  6.20E-16  4.39E-16  3.11E-16  1.97E-16  1.40E-16  9.96E-17  6.39E-17  4.56E-17
             3.18E-17  1.82E-17  1.09E-17  5.84E-18  2.21E-18  9.64E-19  3.93E-19  1.12E-19  4.15E-20
     7       1.60E-12  1.13E-12  7.16E-13  5.07E-13  3.59E-13  2.27E-13  1.61E-13  1.15E-13  7.36E-14  5.28E-14
             3.77E-14  2.37E-14  1.61E-14  1.03E-14  5.19E-15  2.83E-15  1.44E-15  5.28E-16  2.31E-16
     8       6.53E-12  4.62E-12  2.92E-12  2.06E-12  1.46E-12  9.18E-13  6.46E-13  4.51E-13  2.75E-13  1.84E-13
             1.17E-13  5.84E-14  3.15E-14  1.56E-14  5.47E-15  2.29E-15  9.09E-16  2.53E-16  9.32E-17
