SEQ='N '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  26463393.1   NPRNTI= 4   NPRNTF= 8
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   227     1    2S2 2P2 8G1         (2)5(10.5)   748405.3 
   228     1    2S2 2P2 8D1         (2)2( 4.5)   748411.4 
   229     1    2S2 2P2 8F1         (2)4( 8.5)   748428.6 
   230     1    2S2 2P2 8H1         (4)4(17.5)   748436.4 
   231     1    2S2 2P2 8H1         (2)4( 8.5)   748436.4 
   232     1    2S2 2P2 8H1         (4)5(21.5)   748436.4 
   233     1    2S2 2P2 8H1         (2)5(10.5)   748436.4 
   234     1    2S2 2P2 8H1         (4)6(25.5)   748436.4 
   235     1    2S2 2P2 8H1         (2)6(12.5)   748436.4 
   236     1    2S2 2P2 8I1         (4)5(21.5)   748450.3 
   237     1    2S2 2P2 8I1         (2)5(10.5)   748450.3 
   238     1    2S2 2P2 8I1         (4)6(25.5)   748450.3 
   239     1    2S2 2P2 8I1         (2)6(12.5)   748450.3 
   240     1    2S2 2P2 8I1         (4)7(29.5)   748450.3 
   241     1    2S2 2P2 8I1         (2)7(14.5)   748450.3 
   242     1    2S2 2P2 8J1         (4)6(25.5)   748457.4 
   243     1    2S2 2P2 8J1         (2)6(12.5)   748457.4 
   244     1    2S2 2P2 8J1         (4)7(29.5)   748457.4 
   245     1    2S2 2P2 8J1         (2)7(14.5)   748457.4 
   246     1    2S2 2P2 8J1         (4)8(33.5)   748457.4 
   247     1    2S2 2P2 8J1         (2)8(16.5)   748457.4 
   248     1    2S2 2P2 8F1         (4)3(13.5)   748494.7 
   249     1    2S2 2P2 8F1         (2)3( 6.5)   748536.6 
   250     5    2S1 2P3 3D1         (4)2( 9.5)   749002.6 
   251     2    2S2 2P2 6P1         (2)3( 6.5)   751916.2 
   252     2    2S2 2P2 6P1         (2)2( 4.5)   752581.1 
   253     2    2S2 2P2 6P1         (2)1( 2.5)   752916.8 
   254     3    2S2 2P2 5P1         (2)1( 2.5)   754592.1 
   255     2    2S2 2P2 6D1         (2)3( 6.5)   756904.4 
   256     2    2S2 2P2 6D1         (2)4( 8.5)   756937.7 
   257     2    2S2 2P2 6D1         (2)2( 4.5)   757217.5 
   258     2    2S2 2P2 6D1         (2)1( 2.5)   757631.6 
   259     2    2S2 2P2 6D1         (2)0( 0.5)   757879.7 
   260     2    2S2 2P2 6F1         (2)4( 8.5)   758199.2 
   261     2    2S2 2P2 6F1         (2)3( 6.5)   758251.7 
   262     2    2S2 2P2 6G1         (2)2( 4.5)   758293.8 
   263     2    2S2 2P2 6G1         (2)3( 6.5)   758293.8 
   264     2    2S2 2P2 6G1         (2)4( 8.5)   758293.8 
   265     2    2S2 2P2 6G1         (2)5(10.5)   758293.8 
   266     2    2S2 2P2 6G1         (2)6(12.5)   758293.8 
   267     2    2S2 2P2 6H1         (2)3( 6.5)   758367.8 
   268     2    2S2 2P2 6H1         (2)4( 8.5)   758367.8 
   269     2    2S2 2P2 6H1         (2)5(10.5)   758367.8 
   270     2    2S2 2P2 6H1         (2)6(12.5)   758367.8 
   271     2    2S2 2P2 6H1         (2)7(14.5)   758367.8 
   272     2    2S2 2P2 6F1         (2)2( 4.5)   758458.3 
   273     2    2S2 2P2 6F1         (2)5(10.5)   758479.8 
   274     2    2S2 2P2 6F1         (2)1( 2.5)   758672.0 
   275     3    2S2 2P2 5D1         (2)2( 4.5)   763198.1 
   276     4    2S1 2P3 5S1         (6)0( 2.5)   764675.4 
   277     2    2S2 2P2 7S1         (2)2( 4.5)   764901.8 
   278     8    2S1 2P3 3S1         (4)0( 1.5)   765184.1 
   279     3    2S2 2P2 5G1         (2)4( 8.5)   765188.5 
   280     3    2S2 2P2 5F1         (2)3( 6.5)   765357.0 
   281     2    2S2 2P2 7P1         (2)3( 6.5)   767355.5 
   282     2    2S2 2P2 7P1         (2)2( 4.5)   767738.5 
   283     2    2S2 2P2 7P1         (2)1( 2.5)   767945.2 
