SEQ='F '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  27733664.6   NPRNTI= 3   NPRNTF= 3
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P4             (3)1( 4.0)        0.0 
     2          2S2 2P4             (1)2( 2.0)    28403.2 
     3          2S2 2P4             (1)0( 0.0)    55370.5 

   LS RESOLVED TERM INDEXING            BWNR=  28053719.0   NTRM= 338
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   161     1    2S2 2P4 8G1         (2)3( 6.5)   313164.5 
   162     1    2S2 2P4 8G1         (4)4(17.5)   313164.5 
   163     1    2S2 2P4 8G1         (2)4( 8.5)   313164.5 
   164     1    2S2 2P4 8G1         (4)5(21.5)   313164.5 
   165     1    2S2 2P4 8G1         (2)5(10.5)   313164.5 
   166     1    2S2 2P4 8D1         (2)2( 4.5)   313166.8 
   167     1    2S2 2P4 8H1         (4)4(17.5)   313179.6 
   168     1    2S2 2P4 8H1         (2)4( 8.5)   313179.6 
   169     1    2S2 2P4 8H1         (4)5(21.5)   313179.6 
   170     1    2S2 2P4 8H1         (2)5(10.5)   313179.6 
   171     1    2S2 2P4 8H1         (4)6(25.5)   313179.6 
   172     1    2S2 2P4 8H1         (2)6(12.5)   313179.6 
   173     1    2S2 2P4 8F1         (4)3(13.5)   313181.7 
   174     1    2S2 2P4 8F1         (2)3( 6.5)   313183.1 
   175     1    2S2 2P4 8I1         (4)5(21.5)   313186.4 
   176     1    2S2 2P4 8I1         (2)5(10.5)   313186.4 
   177     1    2S2 2P4 8I1         (4)6(25.5)   313186.4 
   178     1    2S2 2P4 8I1         (2)6(12.5)   313186.4 
   179     1    2S2 2P4 8I1         (4)7(29.5)   313186.4 
   180     1    2S2 2P4 8I1         (2)7(14.5)   313186.4 
   181     1    2S2 2P4 8J1         (4)6(25.5)   313189.8 
   182     1    2S2 2P4 8J1         (2)6(12.5)   313189.8 
   183     1    2S2 2P4 8J1         (4)7(29.5)   313189.8 
   184     1    2S2 2P4 8J1         (2)7(14.5)   313189.8 
   185     1    2S2 2P4 8J1         (4)8(33.5)   313189.8 
   186     1    2S2 2P4 8J1         (2)8(16.5)   313189.8 
   187     1    2S2 2P4 8D1         (2)1( 2.5)   313194.4 
   188     1    2S2 2P4 8F1         (4)4(17.5)   313198.6 
   189     1    2S2 2P4 8F1         (2)4( 8.5)   313198.9 
   190     1    2S2 2P4 8F1         (4)2( 9.5)   313204.4 
   191     1    2S2 2P4 8F1         (2)2( 4.5)   313205.2 
   192     2    2S2 2P4 4D1         (2)0( 0.5)   320292.7*
   193     2    2S2 2P4 4D1         (2)4( 8.5)   320402.1*
   194     2    2S2 2P4 4D1         (2)1( 2.5)   320495.4*
   195     2    2S2 2P4 4D1         (2)2( 4.5)   320764.6*
   196     2    2S2 2P4 4F1         (2)1( 2.5)   320859.1*
   197     2    2S2 2P4 4D1         (2)3( 6.5)   320862.7*
   198     2    2S2 2P4 4F1         (2)5(10.5)   320951.6*
   199     2    2S2 2P4 4F1         (2)2( 4.5)   320979.7*
   200     2    2S2 2P4 4F1         (2)3( 6.5)   321092.7*
   201     2    2S2 2P4 4F1         (2)4( 8.5)   321119.9*
   202     2    2S2 2P4 5S1         (2)2( 4.5)   321629.4*
   203     2    2S2 2P4 5P1         (2)3( 6.5)   325351.1*
   204     2    2S2 2P4 5P1         (2)2( 4.5)   325726.5*
   205     3    2S2 2P4 3D1         (2)2( 4.5)   325942.8*
   206     2    2S2 2P4 5P1         (2)1( 2.5)   326559.1*
   207     3    2S2 2P4 4S1         (2)0( 0.5)   327941.5*
   208     2    2S2 2P4 5D1         (2)0( 0.5)   330516.5*
   209     2    2S2 2P4 5D1         (2)4( 8.5)   330556.3*
   210     2    2S2 2P4 5D1         (2)1( 2.5)   330614.7*
   211     2    2S2 2P4 5D1         (2)2( 4.5)   330746.1*
   212     2    2S2 2P4 5G1         (2)2( 4.5)   330771.2*
   213     2    2S2 2P4 5G1         (2)3( 6.5)   330771.2*
   214     2    2S2 2P4 5G1         (2)4( 8.5)   330771.2*
   215     2    2S2 2P4 5G1         (2)5(10.5)   330771.2*
   216     2    2S2 2P4 5G1         (2)6(12.5)   330771.2*
   217     2    2S2 2P4 5D1         (2)3( 6.5)   330789.6*
   218     2    2S2 2P4 5F1         (2)1( 2.5)   330814.9*
   219     2    2S2 2P4 5F1         (2)5(10.5)   330861.7*
   220     2    2S2 2P4 5F1         (2)2( 4.5)   330876.3*
   221     2    2S2 2P4 5F1         (2)3( 6.5)   330934.1*
   222     2    2S2 2P4 5F1         (2)4( 8.5)   330947.6*
   223     2    2S2 2P4 6S1         (2)2( 4.5)   331228.7*
   224     2    2S2 2P4 6P1         (2)3( 6.5)   333195.8*
   225     2    2S2 2P4 6P1         (2)2( 4.5)   333394.7*
   226     2    2S2 2P4 6P1         (2)1( 2.5)   333799.0*
   227     2    2S2 2P4 6D1         (2)0( 0.5)   336040.1*
   228     2    2S2 2P4 6D1         (2)4( 8.5)   336058.2*
   229     2    2S2 2P4 6D1         (2)1( 2.5)   336095.2*
   230     2    2S2 2P4 6D1         (2)2( 4.5)   336169.1*
   231     2    2S2 2P4 6G1         (2)2( 4.5)   336190.3*
   232     2    2S2 2P4 6G1         (2)3( 6.5)   336190.3*
   233     2    2S2 2P4 6G1         (2)4( 8.5)   336190.3*
   234     2    2S2 2P4 6G1         (2)5(10.5)   336190.3*
   235     2    2S2 2P4 6G1         (2)6(12.5)   336190.3*
   236     2    2S2 2P4 6D1         (2)3( 6.5)   336192.3*
   237     2    2S2 2P4 6F1         (2)1( 2.5)   336215.3*
   238     2    2S2 2P4 6H1         (2)3( 6.5)   336226.3*
   239     2    2S2 2P4 6H1         (2)4( 8.5)   336226.3*
   240     2    2S2 2P4 6H1         (2)5(10.5)   336226.3*
   241     2    2S2 2P4 6H1         (2)6(12.5)   336226.3*
   242     2    2S2 2P4 6H1         (2)7(14.5)   336226.3*
   243     2    2S2 2P4 6F1         (2)5(10.5)   336242.1*
   244     2    2S2 2P4 6F1         (2)2( 4.5)   336250.7*
   245     2    2S2 2P4 6F1         (2)3( 6.5)   336284.1*
   246     2    2S2 2P4 6F1         (2)4( 8.5)   336291.8*
   247     2    2S2 2P4 7S1         (2)2( 4.5)   336460.9*
   248     3    2S2 2P4 4P1         (2)1( 2.5)   337128.0*
   249     2    2S2 2P4 7P1         (2)3( 6.5)   337624.2*
   250     2    2S2 2P4 7P1         (2)2( 4.5)   337742.4*
   251     2    2S2 2P4 7P1         (2)1( 2.5)   337972.8*
   252     2    2S2 2P4 7D1         (2)0( 0.5)   339357.1*
   253     2    2S2 2P4 7D1         (2)4( 8.5)   339366.7*
   254     2    2S2 2P4 7D1         (2)1( 2.5)   339391.1*
   255     2    2S2 2P4 7D1         (2)2( 4.5)   339436.8*
   256     2    2S2 2P4 7D1         (2)3( 6.5)   339450.7*
   257     2    2S2 2P4 7G1         (2)2( 4.5)   339452.7*
   258     2    2S2 2P4 7G1         (2)3( 6.5)   339452.7*
   259     2    2S2 2P4 7G1         (2)4( 8.5)   339452.7*
   260     2    2S2 2P4 7G1         (2)5(10.5)   339452.7*
   261     2    2S2 2P4 7G1         (2)6(12.5)   339452.7*
   262     2    2S2 2P4 7F1         (2)1( 2.5)   339468.3*
   263     2    2S2 2P4 7H1         (2)3( 6.5)   339475.3*
   264     2    2S2 2P4 7H1         (2)4( 8.5)   339475.3*
   265     2    2S2 2P4 7H1         (2)5(10.5)   339475.3*
   266     2    2S2 2P4 7H1         (2)6(12.5)   339475.3*
   267     2    2S2 2P4 7H1         (2)7(14.5)   339475.3*
   268     2    2S2 2P4 7F1         (2)5(10.5)   339485.1*
