SEQ='C '     NUCCHG=10                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  25455599.3   NPRNTI= 2   NPRNTF= 7
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   230     1    2S2 2P1 8J1         (1)8( 8.0)   967528.3 
   231     1    2S2 2P1 8F1         (3)2( 7.0)   967561.0 
   232     1    2S2 2P1 8F1         (1)4( 4.0)   967570.2 
   233     1    2S2 2P1 8F1         (1)2( 2.0)   967612.4 
   234     6    2P3 3P1             (3)1( 4.0)   969940.9 
   235     2    2S1 2P2 5S1         (5)1( 7.0)   975205.5 
   236     2    2S1 2P2 5S1         (3)1( 4.0)   978896.0 
   237     2    2S1 2P2 5P1         (5)2(12.0)   983384.4 
   238     2    2S1 2P2 5P1         (3)0( 1.0)   983628.5 
   239     2    2S1 2P2 5P1         (5)1( 7.0)   984021.0 
   240     2    2S1 2P2 5P1         (3)2( 7.0)   987225.8 
   241     2    2S1 2P2 5P1         (5)0( 2.0)   987460.1 
   242     2    2S1 2P2 5P1         (3)1( 4.0)   988537.6 
   243     2    2S1 2P2 5D1         (5)3(17.0)   991773.8 
   244     2    2S1 2P2 5D1         (5)2(12.0)   992656.2 
   245     2    2S1 2P2 5D1         (5)1( 7.0)   993718.1 
   246     2    2S1 2P2 5D1         (3)1( 4.0)   994107.4 
   247     2    2S1 2P2 5D1         (3)3(10.0)   995778.2 
   248     2    2S1 2P2 5F1         (5)2(12.0)   996278.0 
   249     2    2S1 2P2 5F1         (5)4(22.0)   996394.4 
   250     2    2S1 2P2 5F1         (3)2( 7.0)   996396.9 
   251     2    2S1 2P2 5G1         (5)3(17.0)   996632.2 
   252     2    2S1 2P2 5G1         (3)3(10.0)   996632.2 
   253     2    2S1 2P2 5G1         (5)4(22.0)   996632.2 
   254     2    2S1 2P2 5G1         (3)4(13.0)   996632.2 
   255     2    2S1 2P2 5G1         (5)5(27.0)   996632.2 
   256     2    2S1 2P2 5G1         (3)5(16.0)   996632.2 
   257     2    2S1 2P2 5F1         (3)4(13.0)   996712.2 
   258     2    2S1 2P2 5F1         (5)3(17.0)   997098.8 
   259     2    2S1 2P2 5D1         (3)2( 7.0)   997411.3 
   260     2    2S1 2P2 5F1         (3)3(10.0)   997489.6 
   261     3    2S1 2P2 4P1         (3)2( 7.0)   999527.9 
   262     3    2S1 2P2 4P1         (3)1( 4.0)  1001418.2 
   263     3    2S1 2P2 4D1         (3)3(10.0)  1014661.7*
   264     3    2S1 2P2 4D1         (3)2( 7.0)  1016256.3*
   265     2    2S1 2P2 6S1         (5)1( 7.0)  1018264.4*
   266     3    2S1 2P2 4D1         (3)1( 4.0)  1018534.8*
   267     2    2S1 2P2 6S1         (3)1( 4.0)  1020243.9*
   268     3    2S1 2P2 4F1         (3)4(13.0)  1021022.6*
   269     2    2S1 2P2 6P1         (5)2(12.0)  1022837.9*
   270     2    2S1 2P2 6P1         (3)0( 1.0)  1022970.1*
   271     2    2S1 2P2 6P1         (5)1( 7.0)  1023187.6*
   272     2    2S1 2P2 6P1         (3)2( 7.0)  1024945.7*
   273     2    2S1 2P2 6P1         (5)0( 2.0)  1025019.5*
