	iz	LowerstatenameImpZeff	UpperstatenameImpZeff	rate(s-1)	Acc	E_i(cm-1)	E_k(cm-1)	Lowerconf	Lowerterm	LowerJ	Upperconf	Upperterm	UpperJ
63	0	2s2,2p2 3P	2s2,2p(2P^1/2)1,0d1 2[5/2]	6.00E+05	E	43.4134567	89698	2s22p2	3P	2	2s22p(2P^1/2)10d	2[5/2]^0	2
64	0	2s2,2p2 3P	2s2,2p(2P^3/2)9d1 2[1/2]	1.40E+07	E	16.416713	89529.3	2s22p2	3P	1	2s22p(2P^3/2)9d	2[1/2]^0	0
65	0	2s2,2p2 3P	2s2,2p(2P^3/2)9d1 2[1/2]	4.00E+06	E	16.416713	89527.1	2s22p2	3P	1	2s22p(2P^3/2)9d	2[1/2]^0	1
66	0	2s2,2p2 3P	2s2,2p(2P^3/2)9d1 2[5/2]	5.00E+06	E	16.416713	89510.46	2s22p2	3P	1	2s22p(2P^3/2)9d	2[5/2]^0	2
67	0	2s2,2p2 3P	2s2,2p(2P^3/2)9d1 2[1/2]	5.00E+06	E	43.4134567	89527.1	2s22p2	3P	2	2s22p(2P^3/2)9d	2[1/2]^0	1
68	0	2s2,2p2 3P	2s2,2p(2P^3/2)9d1 2[3/2]	7.00E+06	E	43.4134567	89523.4	2s22p2	3P	2	2s22p(2P^3/2)9d	2[3/2]^0	2
69	0	2s2,2p2 3P	2s2,2p(2P^3/2)9d1 2[7/2]	2.30E+06	E	43.4134567	89519.15	2s22p2	3P	2	2s22p(2P^3/2)9d	2[7/2]^0	3
70	0	2s2,2p2 3P	2s2,2p(2P^3/2)9d1 2[5/2]	1.20E+07	E	43.4134567	89513.4	2s22p2	3P	2	2s22p(2P^3/2)9d	2[5/2]^0	3
71	0	2s2,2p2 3P	2s2,2p(2P^1/2)9d1 2[3/2]	1.10E+07	E	0	89456.15	2s22p2	3P	0	2s22p(2P^1/2)9d	2[3/2]^0	1
72	0	2s2,2p2 3P	2s2,2p(2P^1/2)9d1 2[3/2]	1.20E+07	E	16.416713	89448.6	2s22p2	3P	1	2s22p(2P^1/2)9d	2[3/2]^0	2
73	0	2s2,2p2 3P	2s2,2p(2P^1/2)9d1 2[5/2]	4.00E+06	E	43.4134567	89449.54	2s22p2	3P	2	2s22p(2P^1/2)9d	2[5/2]^0	3
74	0	2s2,2p2 3P	2s2,2p(2P^1/2)9d1 2[5/2]	7.00E+05	E	43.4134567	89431.49	2s22p2	3P	2	2s22p(2P^1/2)9d	2[5/2]^0	2
75	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[1/2]	1.50E+06	C+	0	89170.01	2s22p2	3P	0	2s22p(2P^3/2)8d	2[1/2]^0	1
76	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[3/2]	1.70E+06	C+	0	89164.74	2s22p2	3P	0	2s22p(2P^3/2)8d	2[3/2]^0	1
77	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[1/2]	3.50E+06	C+	16.416713	89170.01	2s22p2	3P	1	2s22p(2P^3/2)8d	2[1/2]^0	1
78	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[1/2]	1.10E+07	C+	16.416713	89169.2	2s22p2	3P	1	2s22p(2P^3/2)8d	2[1/2]^0	0
79	0	2s2,2p2 3P	2s2,2p(2P^3/2)9s1 2[3/2]	4.00E+05	C	0	89149.35	2s22p2	3P	0	2s22p(2P^3/2)9s	2[3/2]^0	1
80	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[3/2]	4.30E+05	C	16.416713	89162.6	2s22p2	3P	1	2s22p(2P^3/2)8d	2[3/2]^0	2
81	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[3/2]	8.10E+05	C	16.416713	89164.74	2s22p2	3P	1	2s22p(2P^3/2)8d	2[3/2]^0	1
82	0	2s2,2p2 3P	2s2,2p(2P^3/2)9s1 2[3/2]	3.60E+06	C+	16.416713	89149.35	2s22p2	3P	1	2s22p(2P^3/2)9s	2[3/2]^0	1
83	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[1/2]	4.00E+06	C+	43.4134567	89170.01	2s22p2	3P	2	2s22p(2P^3/2)8d	2[1/2]^0	1
84	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[5/2]	8.50E+06	C+	16.416713	89142.68	2s22p2	3P	1	2s22p(2P^3/2)8d	2[5/2]^0	2
85	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[3/2]	1.20E+04	D	43.4134567	89164.74	2s22p2	3P	2	2s22p(2P^3/2)8d	2[3/2]^0	1
86	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[3/2]	6.70E+06	C+	43.4134567	89162.6	2s22p2	3P	2	2s22p(2P^3/2)8d	2[3/2]^0	2
87	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[7/2]	3.40E+06	C+	43.4134567	89155.71	2s22p2	3P	2	2s22p(2P^3/2)8d	2[7/2]^0	3
88	0	2s2,2p2 3P	2s2,2p(2P^3/2)9s1 2[3/2]	1.40E+06	C+	43.4134567	89149.35	2s22p2	3P	2	2s22p(2P^3/2)9s	2[3/2]^0	1
89	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[5/2]	1.06E+07	B	43.4134567	89144.03	2s22p2	3P	2	2s22p(2P^3/2)8d	2[5/2]^0	3
90	0	2s2,2p2 3P	2s2,2p(2P^3/2)8d1 2[5/2]	3.40E+05	C	43.4134567	89142.68	2s22p2	3P	2	2s22p(2P^3/2)8d	2[5/2]^0	2
91	0	2s2,2p2 3P	2s2,2p(2P^1/2)8d1 2[3/2]	9.00E+06	C+	0	89091.25	2s22p2	3P	0	2s22p(2P^1/2)8d	2[3/2]^0	1
92	0	2s2,2p2 3P	2s2,2p(2P^1/2)9s1 2[1/2]	2.00E+06	C+	0	89085.39	2s22p2	3P	0	2s22p(2P^1/2)9s	2[1/2]^0	1
93	0	2s2,2p2 3P	2s2,2p(2P^1/2)8d1 2[3/2]	2.70E+06	C+	16.416713	89091.25	2s22p2	3P	1	2s22p(2P^1/2)8d	2[3/2]^0	1
94	0	2s2,2p2 3P	2s2,2p(2P^1/2)9s1 2[1/2]	4.00E+05	C	16.416713	89085.39	2s22p2	3P	1	2s22p(2P^1/2)9s	2[1/2]^0	1
95	0	2s2,2p2 3P	2s2,2p(2P^1/2)9s1 2[1/2]	3.80E+06	C+	16.416713	89081.64	2s22p2	3P	1	2s22p(2P^1/2)9s	2[1/2]^0	0
96	0	2s2,2p2 3P	2s2,2p(2P^1/2)8d1 2[3/2]	7.30E+06	C+	16.416713	89081.3	2s22p2	3P	1	2s22p(2P^1/2)8d	2[3/2]^0	2
97	0	2s2,2p2 3P	2s2,2p(2P^1/2)8d1 2[3/2]	4.10E+03	D	43.4134567	89091.25	2s22p2	3P	2	2s22p(2P^1/2)8d	2[3/2]^0	1
98	0	2s2,2p2 3P	2s2,2p(2P^1/2)9s1 2[1/2]	1.27E+06	C+	43.4134567	89085.39	2s22p2	3P	2	2s22p(2P^1/2)9s	2[1/2]^0	1
99	0	2s2,2p2 3P	2s2,2p(2P^1/2)8d1 2[5/2]	3.60E+06	C+	43.4134567	89081.96	2s22p2	3P	2	2s22p(2P^1/2)8d	2[5/2]^0	3
100	0	2s2,2p2 3P	2s2,2p(2P^1/2)8d1 2[5/2]	3.80E+05	C	16.416713	89054.17	2s22p2	3P	1	2s22p(2P^1/2)8d	2[5/2]^0	2
101	0	2s2,2p2 3P	2s2,2p(2P^1/2)8d1 2[3/2]	5.00E+00	E	43.4134567	89081.3	2s22p2	3P	2	2s22p(2P^1/2)8d	2[3/2]^0	2
102	0	2s2,2p2 3P	2s2,2p(2P^1/2)8d1 2[5/2]	3.80E+05	C	43.4134567	89054.17	2s22p2	3P	2	2s22p(2P^1/2)8d	2[5/2]^0	2
103	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[1/2]	2.40E+06	C+	0	88646.9	2s22p2	3P	0	2s22p(2P^3/2)7d	2[1/2]^0	1
104	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[3/2]	1.80E+06	C+	0	88638.99	2s22p2	3P	0	2s22p(2P^3/2)7d	2[3/2]^0	1
105	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[1/2]	1.55E+07	B	16.416713	88648.4	2s22p2	3P	1	2s22p(2P^3/2)7d	2[1/2]^0	0
106	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[1/2]	5.00E+06	C+	16.416713	88646.9	2s22p2	3P	1	2s22p(2P^3/2)7d	2[1/2]^0	1
107	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[3/2]	7.00E+04	D	16.416713	88639.1	2s22p2	3P	1	2s22p(2P^3/2)7d	2[3/2]^0	2
108	0	2s2,2p2 3P	2s2,2p(2P^3/2)7d1 2[3/2]	9.60E+05	C	16.416713	88638.99	2s22p2	3P	1	2s22p(2P^3/2)7d	2[3/2]^0	1
109	0	2s2,2p2 3P	2s2,2p(2P^3/2)8s1 2[3/2]	6.00E+05	C	0	88615.02	2s22p2	3P	0	2s22p(2P^3/2)8s	2[3/2]^0	1
