iz	from_state	to_state	A	B	C	D	E	F	X_1	P	Q	V_if	fit_eqn
3	1s22s 2S	1s23s 2S	4.85E-01	-2.74E-01	4.77E-01	-3.97E-01	0	0.00E+00	1.072	7.39E-01	2.46E-01	37.6	6
3	1s22s 2S	1s23p 2P	-5.73E-01	9.55E-01	-8.93E-02	0	5.64E-01	0.00E+00	1.019	-3.412	9.141	40	6
3	1s22s 2S	1s23d 2D	1.252	-1.243	4.93E-01	1.33E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	40	6
3	1s22s 2S	1s24p 2P	2.78E-01	-6.66E-01	4.96E-01	0	3.53E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	50.6	10
3	1s22p 2P	1s23s 2S	1.273	-5.038	5.374	0	2.27E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	29.4	10
3	1s22p 2P	1s23d 2D	1.90E+01	-4.19E+01	2.86E+01	0	4.03E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	32.1	10
3	1s22p 2P	1s24s 2S	1.96E-01	-6.74E-01	7.17E-01	0	2.41E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	41.8	10
4	1s2 1S	1s2s 3S	-1.82E-05	1.09E-03	1.68E-02	-8.79E-03	0	0.00E+00	1.02	-1.78E+00	1.826	299	6
4	1s2 1S	1s2s 1S	2.83E-02	-3.16E-02	2.69E-02	-1.06E-02	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	304	6
4	1s2 1S	1s2p 3P	8.93E-05	-2.82E-03	7.38E-02	-2.67E-02	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	304	6
4	1s2 1S	1s2p 1P	1.64E-02	-7.35E-02	9.32E-02	0	1.25E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	308	6
4	1s2 1S	1s3d 3D	5.06E-05	-5.62E-04	2.12E-03	7.71E-04	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	354	6
4	1s2 1S	1s3p 1P	1.29E-02	-2.13E-02	1.66E-02	0	2.11E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	355	6
4	1s2s 3S	1s2s 1S	-3.82E-03	7.20E-01	-1.671	1.393	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.4	6
4	1s2s 3S	1s2p 3P	9.507	1.20E+01	-7.559	0	4.417	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.4	6
4	1s2s 3S	1s2p 1P	-5.94E-03	6.63E-01	-7.94E-01	2.70E-01	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.94	6
4	1s2s 3S	1s3p 3P	-7.45E-01	1.335	-3.42E-01	0	1.011	0.00E+00	0.00E+00	0.00E+00	0.00E+00	54.5	6
4	1s2s 1S	1s2p 3P	1.19E-02	4.77E-02	-3.97E-02	3.75E-02	1.53E-01	6.00E-04	0.00E+00	0.00E+00	0.00E+00	0.022	7
4	1s2s 1S	1s2p 1P	1.508	3.987	-1.245	0	1.652	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.5	6
4	1s2p 3P	1s2p 1P	2.49E-02	1.042	-3.304	6.244	-3.249	2.00E-02	0.00E+00	0.00E+00	0.00E+00	3.2	7
4	1s2p 3P	1s3s 3S	-1.09E-01	2.36E-01	-5.64E-02	0	1.76E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	47.7	6
5	1s 2S	2s 2S	2.45E-02	-1.57E-02	1.01E-02	0	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	367	6
5	1s 2S	2p 2P	1.04E-02	1.72E-02	4.37E-02	0	1.26E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	367	6
5	1s 2S	3s 2S	4.87E-03	-2.52E-03	3.16E-03	-1.77E-03	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	435	6
5	1s 2S	3p 2P	4.25E-03	8.98E-03	4.08E-03	0	2.13E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	435	6
5	1s 2S	3d 2D	3.87E-03	-6.10E-03	3.91E-03	2.14E-03	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	435	6
5	1s 2S	4s 2S	1.81E-03	-1.04E-03	1.52E-03	-9.16E-04	0	0.00E+00	0.00E+00	0.00E+00	0.00E+00	459	6
5	1s 2S	4p 2P	1.11E-03	2.97E-03	3.25E-03	0	7.92E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	459	6
5	1s 2S	5p 2P	6.87E-04	1.17E-03	2.12E-03	0	3.71E-03	0.00E+00	0.00E+00	0.00E+00	0.00E+00	470	6
